Week Start Date,Age group,At least one vaccine dose,Completed vaccine series,Up to date vaccine doses,webDate
2023-02-05,Total,72.1,68,24.3,3/23/2023
2022-08-14,Total,71.2,67.2,0,3/23/2023
2022-09-11,Total,71.4,67.4,1.9,3/23/2023
2021-06-27,Total,55.4,52.8,0,3/23/2023
2021-05-16,Total,52.1,46.2,0,3/23/2023
2021-12-05,Total,66.3,62.2,0,3/23/2023
2022-01-09,Total,68.2,64.1,0,3/23/2023
2021-08-22,Total,59.5,56.1,0,3/23/2023
2021-11-28,Total,65.9,61.4,0,3/23/2023
2022-03-20,Total,69.7,66.1,0,3/23/2023
2023-01-22,Total,72.1,68,23.9,3/23/2023
2021-01-24,Total,8.3,2.4,0,3/23/2023
2022-04-24,Total,69.9,66.4,0,3/23/2023
2022-02-06,Total,69.2,65.3,0,3/23/2023
2022-12-11,Total,71.9,67.9,21.7,3/23/2023
2021-03-07,Total,23.4,13.7,0,3/23/2023
2022-08-28,Total,71.3,67.3,0,3/23/2023
2022-01-02,Total,67.8,63.8,0,3/23/2023
2023-01-15,Total,72,68,23.6,3/23/2023
2020-12-13,Total,0.1,0,0,3/23/2023
2021-11-07,Total,63.9,59.9,0,3/23/2023
2021-04-11,Total,42.2,30.2,0,3/23/2023
2022-06-26,Total,70.5,66.8,0,3/23/2023
2023-02-26,Total,72.1,68.1,24.7,3/23/2023
2021-01-10,Total,3.9,0.8,0,3/23/2023
2021-06-13,Total,54.6,51.7,0,3/23/2023
2022-10-16,Total,71.6,67.6,11.7,3/23/2023
2021-11-14,Total,64.8,60.1,0,3/23/2023
2022-09-18,Total,71.5,67.4,3.6,3/23/2023
2022-04-17,Total,69.9,66.4,0,3/23/2023
2022-03-06,Total,69.6,66,0,3/23/2023
2021-08-29,Total,60,56.7,0,3/23/2023
2022-02-13,Total,69.3,65.5,0,3/23/2023
2021-01-17,Total,5.6,1.4,0,3/23/2023
2021-05-23,Total,53.1,47.7,0,3/23/2023
2022-02-27,Total,69.5,65.9,0,3/23/2023
2021-08-01,Total,57.8,54.6,0,3/23/2023
2022-06-19,Total,70.3,66.8,0,3/23/2023
2021-01-31,Total,10.7,3.3,0,3/23/2023
2022-12-04,Total,71.9,67.9,20.9,3/23/2023
2020-12-27,Total,1.7,0,0,3/23/2023
2021-07-04,Total,55.6,53.2,0,3/23/2023
2022-10-23,Total,71.7,67.7,13.7,3/23/2023
2023-01-29,Total,72.1,68,24.1,3/23/2023
2021-01-03,Total,2.9,0.2,0,3/23/2023
2021-02-21,Total,16.8,8.9,0,3/23/2023
2021-02-07,Total,12.7,4.7,0,3/23/2023
2021-12-26,Total,67.4,63.4,0,3/23/2023
2022-05-22,Total,70.1,66.6,0,3/23/2023
2021-11-21,Total,65.4,60.4,0,3/23/2023
2022-06-12,Total,70.2,66.7,0,3/23/2023
2021-10-24,Total,62.3,59.4,0,3/23/2023
2022-05-01,Total,70,66.5,0,3/23/2023
2022-07-10,Total,70.7,66.9,0,3/23/2023
2022-01-23,Total,68.8,64.7,0,3/23/2023
2022-12-18,Total,71.9,67.9,22.2,3/23/2023
2021-03-21,Total,30.2,18.9,0,3/23/2023
2020-12-20,Total,0.8,0,0,3/23/2023
2022-07-31,Total,71,67.1,0,3/23/2023
2021-06-06,Total,54.2,50.7,0,3/23/2023
2021-12-12,Total,66.7,62.8,0,3/23/2023
2022-04-03,Total,69.8,66.3,0,3/23/2023
2022-05-29,Total,70.2,66.7,0,3/23/2023
2021-04-04,Total,38.7,26.7,0,3/23/2023
2021-04-25,Total,47.4,37,0,3/23/2023
2021-07-18,Total,56.4,54,0,3/23/2023
2022-07-24,Total,70.9,67,0,3/23/2023
2022-11-27,Total,71.9,67.8,20.1,3/23/2023
2021-04-18,Total,45.1,33.6,0,3/23/2023
2021-09-19,Total,60.9,58.1,0,3/23/2023
2021-03-14,Total,26.7,16,0,3/23/2023
2023-02-12,Total,72.1,68.1,24.5,3/23/2023
2021-07-25,Total,57,54.3,0,3/23/2023
2022-04-10,Total,69.8,66.3,0,3/23/2023
2021-12-19,Total,67.1,63.1,0,3/23/2023
2021-03-28,Total,34.1,22.3,0,3/23/2023
2021-10-17,Total,62,59.2,0,3/23/2023
2021-08-15,Total,59.1,55.5,0,3/23/2023
2022-05-08,Total,70,66.5,0,3/23/2023
2022-09-25,Total,71.5,67.5,5.5,3/23/2023
2022-08-21,Total,71.2,67.2,0,3/23/2023
2022-08-07,Total,71.1,67.1,0,3/23/2023
2022-06-05,Total,70.2,66.7,0,3/23/2023
2022-07-03,Total,70.6,66.8,0,3/23/2023
2022-11-13,Total,71.8,67.8,18.3,3/23/2023
2022-11-20,Total,71.8,67.8,19.1,3/23/2023
2023-01-01,Total,72,67.9,22.9,3/23/2023
2022-10-02,Total,71.6,67.5,7.5,3/23/2023
2021-05-30,Total,53.7,49,0,3/23/2023
2021-05-02,Total,48.7,40.3,0,3/23/2023
2022-01-30,Total,69.1,65,0,3/23/2023
2022-07-17,Total,70.8,66.9,0,3/23/2023
2021-07-11,Total,56,53.6,0,3/23/2023
2021-10-31,Total,62.7,59.7,0,3/23/2023
2021-08-08,Total,58.5,55,0,3/23/2023
2022-02-20,Total,69.4,65.7,0,3/23/2023
2022-05-15,Total,70.1,66.6,0,3/23/2023
2023-02-19,Total,72.1,68.1,24.6,3/23/2023
2023-01-08,Total,72,68,23.3,3/23/2023
2022-10-09,Total,71.6,67.6,9.6,3/23/2023
2022-03-27,Total,69.7,66.2,0,3/23/2023
2021-09-12,Total,60.7,57.7,0,3/23/2023
Unknown/missing,Total,0,0,0,3/23/2023
2022-01-16,Total,68.5,64.4,0,3/23/2023
2021-06-20,Total,55,52.4,0,3/23/2023
2021-09-05,Total,60.3,57.2,0,3/23/2023
2022-09-04,Total,71.4,67.3,0.6,3/23/2023
2022-11-06,Total,71.8,67.7,16.9,3/23/2023
2021-09-26,Total,61.2,58.4,0,3/23/2023
2022-10-30,Total,71.7,67.7,15.4,3/23/2023
2021-02-28,Total,19.9,11.3,0,3/23/2023
2023-03-12,Total,72.2,68.1,25,3/23/2023
2023-03-05,Total,72.2,68.1,24.9,3/23/2023
2021-10-03,Total,61.5,58.7,0,3/23/2023
2021-10-10,Total,61.7,59,0,3/23/2023
2022-12-25,Total,72,67.9,22.6,3/23/2023
2021-02-14,Total,14.1,6.9,0,3/23/2023
2022-03-13,Total,69.6,66.1,0,3/23/2023
2021-05-09,Total,50.1,43.5,0,3/23/2023
